organisationID,shortName,ISTAT_code,NUTS3,region_code,region,lon,lat
940884966,DEA,003106,ITC15,1,Piemonte,45.4464036,8.619655
968922331,PROBIO S.p.A.,003106,ITC15,1,Piemonte,45.4464036,8.619655
950037983,NA,003106,ITC15,1,Piemonte,43.9100918,8.0819189
904883319,UHMC,003106,ITC15,1,Piemonte,42.6384261,12.674297
998936459,CAGE,003106,ITC15,1,Piemonte,45.0677551,7.6824892
923855743,MBP,003106,ITC15,1,Piemonte,41.592217,13.243998
998899793,Novamont,003106,ITC15,1,Piemonte,45.4627115,8.645897
901014086,ChemICare,003106,ITC15,1,Piemonte,45.4336494,7.8866778
954278726,NR,003106,ITC15,1,Piemonte,45.4492949,8.6359039
918425974,3NTR,003108,ITC15,1,Piemonte,45.6046173,8.6392464
933951988,WE PLUS SPA,001171,ITC11,1,Piemonte,45.0089955,7.5492472
905800357,NA,001171,ITC11,1,Piemonte,45.012903,7.5613761
905800066,NA,001171,ITC11,1,Piemonte,45.012903,7.5613761
905419050,ASC,001171,ITC11,1,Piemonte,45.012903,7.5613761
999992886,CENTRO RICERCHE FIAT,001171,ITC11,1,Piemonte,45.0140614,7.5647471
917576060,CFAVS,001175,ITC11,1,Piemonte,45.0330519,6.83251
916746225,FHL,006121,ITC18,1,Piemonte,44.6384141,8.6461429
973272490,VIMARK SRL,004163,ITC16,1,Piemonte,44.3315253,7.6194299
937262695,JAC-ITALY DESIGN CENTER SRL,001189,ITC11,1,Piemonte,45.0950634,7.556463
918306858,CO.RE. S.R.L.,001191,ITC11,1,Piemonte,44.8943318,7.343296092056688
999705378,APR SRL,001191,ITC11,1,Piemonte,44.8873086,7.3319454
937307315,ACEA,001191,ITC11,1,Piemonte,44.8840799,7.3373411
989662095,FTI,001194,ITC11,1,Piemonte,44.9722636,7.4861395
996560444,DNTS,001197,ITC11,1,Piemonte,42.6384261,12.674297
968992462,AUN,001197,ITC11,1,Piemonte,42.6384261,12.674297
999775800,PIACENZA,096046,ITC13,1,Piemonte,45.579763,8.005919
952724786,GRINP,001200,ITC11,1,Piemonte,44.8872956,7.2666643
950043221,GE AVIO SRL,001214,ITC11,1,Piemonte,44.9986301,7.5129755
984796478,TERMOMACCHINE,001214,ITC11,1,Piemonte,45.0197424,7.4978065
944219244,PROPAGROUP SPA,001219,ITC11,1,Piemonte,45.0697151,7.5176764
970788417,INTELLISEMANTIC,001219,ITC11,1,Piemonte,45.081924,7.5022916
951385701,NOMOTIKA,001219,ITC11,1,Piemonte,45.0620748,7.5495541
991851870,BLUE,001219,ITC11,1,Piemonte,45.0688312,7.5210218
973092167,MW ITALIA,001219,ITC11,1,Piemonte,45.0659,7.55112
927179739,EVISO,004203,ITC16,1,Piemonte,42.6384261,12.674297
899179525,TECNO,004203,ITC16,1,Piemonte,44.6431895,7.4966909261177825
999475391,FIDIA,001249,ITC11,1,Piemonte,45.1148844,7.7524319
894677173,NA,003135,ITC15,1,Piemonte,45.426544199999995,8.529523013027308
889073580,NA,003135,ITC15,1,Piemonte,45.4536835,8.5675336
939037116,Entec Spa,004215,ITC16,1,Piemonte,44.644037,7.655929
984948477,ALSTOM,004215,ITC16,1,Piemonte,42.6384261,12.674297
893171345,NA,001260,ITC11,1,Piemonte,42.6384261,12.674297
895578691,NA,001260,ITC11,1,Piemonte,42.6384261,12.674297
996657444,ELETTROSYSTEM SRL,005103,ITC17,1,Piemonte,44.96485,8.279137
950568961,CSA,001265,ITC11,1,Piemonte,45.1398638,7.7592789
962054440,IFEVS,004222,ITC16,1,Piemonte,42.6384261,12.674297
918025849,LA FORESTA SCRL,001270,ITC11,1,Piemonte,45.1372115,7.0539789
972490282,ALTEC,001272,ITC11,1,Piemonte,45.0743282,7.6147978
