from,to,weight,LOC,NACE_group,PG
88,229,3.425051334702258,UDINE,MAN,MAN
89,736,0.9965776865160848,PORDENONE,MAN,MAN
90,432,4.210814510609172,PORDENONE,MAN,ENG
91,85,0.49828884325804246,MONFALCONE,MAN,ENG
92,85,1.7960301163586585,MONFALCONE,MAN,ENG
27,85,0.49555099247091033,MONFALCONE,MAN,ENG
18,85,1.538672142368241,MONFALCONE,MAN,ENG
40,330,1.623545516769336,Mountain,MAN,ENG
93,85,0.5859000684462696,MONFALCONE,MAN,ENG
27,85,5,MONFALCONE,MAN,ENG
18,85,2.830937713894593,MONFALCONE,MAN,ENG
58,85,3.425051334702258,MONFALCONE,MAN,ENG
94,85,2.830937713894593,MONFALCONE,MAN,ENG
95,85,5,MONFALCONE,MAN,MAN
18,85,0.216290212183436,MONFALCONE,MAN,ENG
96,330,3.1786447638603694,Mountain,MAN,MAN
97,737,0.7665982203969883,Mountain,MAN,PCM
57,738,0.9965776865160848,UDINE,MAN,MAN
98,74,0.3750855578370979,MANIAGO,MAN,ENG
37,74,1.0978781656399723,MANIAGO,MAN,ENG
99,74,1.845311430527036,MANIAGO,MAN,ENG
40,738,2.7104722792607805,UDINE,MAN,MAN
100,74,1.2210814510609171,MANIAGO,MAN,ENG
37,74,1.0978781656399723,MANIAGO,MAN,ENG
18,739,1.2566735112936345,Mountain,MAN,ENG
8,74,1.5578370978781657,MANIAGO,MAN,ENG
27,74,5,MANIAGO,MAN,ENG
101,740,2.6776180698151952,GORIZIA,MAN,MAN
102,741,0.5913757700205339,MONFALCONE,MAN,MAN
103,742,0.49555099247091033,MONFALCONE,MAN,ENG
104,110,3.299110198494182,MONFALCONE,MAN,MAN
105,74,5,MANIAGO,MAN,ENG
106,743,1.596167008898015,UDINE,MAN,MAN
107,744,0.03011635865845311,PORDENONE,MAN,MAN
68,591,1.5852156057494866,PORDENONE,MAN,ENG
108,745,1.995893223819302,UDINE,MAN,MAN
109,132,2.299794661190965,PORDENONE,MAN,PCM
110,746,2.329911019849418,MONFALCONE,MAN,MAN
22,154,0.6872005475701575,UDINE,MAN,MAN
18,116,0.24914442162902123,UDINE,MAN,ENG
111,747,3.345653661875428,UDINE,MAN,MAN
18,116,0.24914442162902123,UDINE,MAN,ENG
